,Portfolio Value,Cumulative Return,Volatility,Avg. Daily Return
Manual Strategy,200610,1.0061,0.01194293644282129,0.0014531602981027114
Strategy Learner,54940,-0.4506,0.022246103840566654,-0.0009910093740350542
